dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.041761,14.635644,0.054345,0.543448,2.717240,13.586199,0.011038
0.200000,0.164508,14.639126,0.177142,0.613985,0.352687,-11.822762,0.046471
0.200000,0.358671,14.654493,0.371911,0.973846,1.799305,7.233088,0.114215
0.200000,0.602277,14.696089,0.619043,1.235661,1.309073,-2.451162,0.231477
0.200000,0.851815,14.779288,0.882085,1.315211,0.397749,-4.556619,0.430199
0.200000,1.053358,14.909834,1.122215,1.200647,-0.572819,-4.852838,0.744325
0.200000,1.213462,15.132737,1.396658,1.372214,0.857838,7.153283,1.123349
0.200000,1.337658,15.579746,1.860599,2.319708,4.737466,19.398141,1.431119
0.200000,1.380592,16.430265,2.712201,4.258011,9.691515,24.770246,1.494258
0.200000,1.670096,17.695594,4.010226,6.490125,11.160573,7.345292,1.174535
0.200000,2.446178,18.794821,5.355813,6.727934,1.189042,-49.857656,0.726728
0.200000,3.442259,19.384092,6.513146,5.786663,-4.706352,-29.476972,0.353076
0.200000,4.297739,19.591044,7.393301,4.400778,-6.929426,-11.115369,0.132242
0.200000,4.961274,19.635292,8.058311,3.325047,-5.378654,7.753859,0.006361
0.200000,5.382308,19.635415,8.479345,2.105169,-6.099390,-3.603681,0.000000
0.200000,5.687450,19.635415,8.784487,1.525711,-2.897288,16.010514,0.000000
0.200000,5.883903,19.635415,8.980940,0.982264,-2.717240,0.900239,0.000000
0.200000,5.971666,19.635415,9.068703,0.438816,-2.717240,0.000000,0.000000
0.200000,5.988375,19.635415,9.085412,0.083546,-1.776349,4.704454,0.000000
0.200000,5.988375,19.635415,9.085412,0.000000,-0.417729,6.793099,0.000000
0.200000,5.988375,19.635415,9.085412,0.000000,0.000000,2.088645,0.000000
