dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004472,12.138453,0.003669,0.146750,2.935007,58.700139,0.000626
0.050000,0.018083,12.138474,0.017280,0.272225,2.509486,-8.510428,0.002540
0.050000,0.040805,12.138569,0.040003,0.454451,3.644528,22.700842,0.005756
0.050000,0.072695,12.138825,0.071893,0.637815,3.667281,0.455065,0.010316
0.050000,0.113832,12.139372,0.113034,0.822818,3.700064,0.655665,0.016282
0.050000,0.164323,12.140381,0.163535,1.010011,3.743855,0.875814,0.023732
0.050000,0.224299,12.142075,0.223535,1.200010,3.799980,1.122509,0.032771
0.050000,0.293924,12.144731,0.293211,1.393519,3.870174,1.403866,0.043527
0.050000,0.373393,12.148693,0.372779,1.591351,3.956643,1.729386,0.056159
0.050000,0.462936,12.154383,0.462502,1.794458,4.062153,2.110195,0.070861
0.050000,0.562819,12.162322,0.562700,2.003964,4.190111,2.559165,0.087868
0.050000,0.673350,12.173144,0.673760,2.221196,4.344648,3.090750,0.107463
0.050000,0.794876,12.187631,0.796146,2.447729,4.530657,3.720172,0.129989
0.050000,0.927780,12.206742,0.930417,2.685416,4.753728,4.461411,0.155855
0.050000,1.072469,12.231665,1.077237,2.936409,5.019865,5.322746,0.185551
0.050000,1.229356,12.263869,1.237395,3.203147,5.334768,6.298060,0.219654
0.050000,1.398808,12.305169,1.411808,3.488262,5.702300,7.350652,0.258841
0.050000,1.581076,12.357809,1.601525,3.794340,6.121560,8.385189,0.303883
0.050000,1.776155,12.424523,1.807696,4.123426,6.581715,9.203100,0.355626
0.050000,1.983577,12.508579,2.031502,4.476115,7.053769,9.441088,0.414938
0.050000,2.202097,12.613731,2.274006,4.850078,7.479269,8.509998,0.482605
0.050000,2.429302,12.744001,2.535907,5.238025,7.758940,5.593407,0.559142
0.050000,2.661195,12.903194,2.817185,5.625554,7.750589,-0.167004,0.644536
0.050000,2.891985,13.094095,3.116696,5.990224,7.293400,-9.143795,0.737951
0.050000,3.114350,13.317483,3.431892,6.303919,6.273900,-20.389988,0.837512
0.050000,3.320406,13.571386,3.758886,6.539889,4.719393,-31.090134,0.940360
0.050000,3.503181,13.851088,4.093013,6.682530,2.852825,-37.331370,1.043058
0.050000,3.657982,14.150104,4.429723,6.734196,1.033309,-36.390318,1.142259
0.050000,3.782958,14.461674,4.765423,6.714004,-0.403845,-28.743074,1.235316
0.050000,3.878742,14.780058,5.097903,6.649611,-1.287841,-17.679924,1.320605
0.050000,3.947560,15.101157,5.426294,6.567813,-1.635971,-6.962602,1.397486
0.050000,3.992324,15.422495,5.750735,6.488813,-1.579995,1.119514,1.466064
0.050000,4.015992,15.742870,6.071983,6.424962,-1.277034,6.059234,1.526898
0.050000,4.021718,16.035037,6.364206,5.844457,-11.610093,-206.661181,1.561058
0.050000,4.028206,16.210945,6.540234,3.520559,-46.477955,-697.357246,1.504437
0.050000,4.044123,16.371687,6.701761,3.230557,-5.800049,813.558124,1.436519
0.050000,4.067975,16.509120,6.841250,2.789762,-8.815890,-60.316830,1.357157
0.050000,4.097245,16.620569,6.956478,2.304573,-9.703785,-17.757897,1.265368
0.050000,4.128704,16.705612,7.047153,1.813489,-9.821675,-2.357807,1.160936
0.050000,4.159258,16.766673,7.115432,1.365590,-8.957989,17.273721,1.045442
0.050000,4.187524,16.809475,7.166725,1.025849,-6.794817,43.263444,0.922856
0.050000,4.215181,16.841722,7.209207,0.849649,-3.524003,65.416289,0.799186
0.050000,4.246630,16.870347,7.251733,0.850529,0.017605,70.832152,0.680935
0.050000,4.286820,16.899303,7.301268,0.990690,2.803228,55.712456,0.573220
0.050000,4.338992,16.929405,7.361501,1.204658,4.279349,29.522431,0.478750
0.050000,4.403882,16.959656,7.433096,1.431912,4.545082,5.314661,0.398012
0.050000,4.480262,16.988616,7.514782,1.633706,4.035884,-10.183968,0.330072
0.050000,4.565876,17.015145,7.604412,1.792607,3.178013,-17.157416,0.273353
0.050000,4.658196,17.038604,7.699666,1.905071,2.249290,-18.574454,0.226150
0.050000,4.754836,17.058782,7.798390,1.974481,1.388192,-17.221976,0.186884
0.050000,4.853726,17.075759,7.898727,2.006746,0.645311,-14.857619,0.154191
0.050000,4.953146,17.089786,7.999131,2.008082,0.026716,-12.371888,0.126935
0.050000,5.051692,17.101194,8.098335,1.984080,-0.480052,-10.135360,0.104186
0.050000,5.148231,17.110339,8.195307,1.939435,-0.892900,-8.256973,0.085185
0.050000,5.241851,17.117568,8.289205,1.877962,-1.229456,-6.731118,0.069316
0.050000,5.331810,17.123202,8.379341,1.802712,-1.504988,-5.510638,0.056073
0.050000,5.417507,17.127528,8.465146,1.716114,-1.731965,-4.539538,0.045038
0.050000,5.498446,17.130796,8.546151,1.620101,-1.920263,-3.765955,0.035867
0.050000,5.574218,17.133221,8.621962,1.516222,-2.077573,-3.146198,0.028270
0.050000,5.644483,17.134983,8.692249,1.405731,-2.209826,-2.645056,0.022004
0.050000,5.708953,17.136233,8.756732,1.289653,-2.321565,-2.234787,0.016865
0.050000,5.767389,17.137095,8.815174,1.168840,-2.416253,-1.893769,0.012678
0.050000,5.819586,17.137667,8.867374,1.044014,-2.496516,-1.605243,0.009296
0.050000,5.865375,17.138029,8.913164,0.915798,-2.564328,-1.356254,0.006595
0.050000,5.904611,17.138246,8.952401,0.784740,-2.621168,-1.136801,0.004470
0.050000,5.937178,17.138365,8.984968,0.651333,-2.668128,-0.939188,0.002835
0.050000,5.962979,17.138422,9.010770,0.516033,-2.706003,-0.757497,0.001621
0.050000,5.981942,17.138445,9.029733,0.379265,-2.735362,-0.587191,0.000773
0.050000,5.994014,17.138451,9.041805,0.241435,-2.756601,-0.424789,0.000252
0.050000,5.999161,17.138451,9.046951,0.102936,-2.769981,-0.267589,0.000035
0.050000,6.000000,17.138451,9.047790,0.016781,-1.723099,20.937639,6.283185
0.050000,6.000000,17.138451,9.047790,0.000000,-0.335617,27.749636,6.283185
