dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004445,14.635413,0.003672,0.146878,2.937556,58.751129,6.282460
0.050000,0.017976,14.635389,0.017203,0.270622,2.474885,-9.253438,6.280245
0.050000,0.040565,14.635280,0.039792,0.451782,3.623190,22.966103,6.276520
0.050000,0.072268,14.634985,0.071496,0.634081,3.645996,0.456130,6.271235
0.050000,0.113164,14.634355,0.112397,0.818025,3.678871,0.657487,6.264318
0.050000,0.163359,14.633192,0.162606,1.004165,3.722803,0.878649,6.255672
0.050000,0.222983,14.631239,0.222262,1.193122,3.779131,1.126563,6.245172
0.050000,0.292195,14.628175,0.291542,1.385601,3.849587,1.409121,6.232665
0.050000,0.371184,14.623602,0.370663,1.582418,3.936351,1.735278,6.217958
0.050000,0.460168,14.617027,0.459889,1.784524,4.042103,2.115039,6.200818
0.050000,0.559396,14.607850,0.559540,1.993027,4.170060,2.559137,6.180965
0.050000,0.669145,14.595329,0.670001,2.209225,4.323962,3.078039,6.158058
0.050000,0.789715,14.578558,0.791733,2.434622,4.507954,3.679850,6.131692
0.050000,0.921415,14.556421,0.925279,2.670935,4.726254,4.365991,6.101387
0.050000,1.064534,14.527550,1.071282,2.920056,4.982416,5.123249,6.066577
0.050000,1.219304,14.490263,1.230480,3.183951,5.277900,5.909666,6.026611
0.050000,1.385812,14.442509,1.403701,3.464424,5.609471,6.631418,5.980758
0.050000,1.563888,14.381820,1.591834,3.762669,5.964890,7.108380,5.928233
0.050000,1.752909,14.305294,1.795759,4.078492,6.316463,7.031473,5.868261
0.050000,1.951544,14.209661,2.016216,4.409142,6.612996,5.930650,5.800186
0.050000,2.157436,14.091498,2.253606,4.747804,6.773242,3.204922,5.723651
0.050000,2.366915,13.947653,2.507718,5.082232,6.688556,-1.693723,5.638842
0.050000,2.574894,13.775904,2.777446,5.394559,6.246537,-8.840370,5.546729
0.050000,2.775173,13.575700,3.060630,5.663686,5.382558,-17.279591,5.449219
0.050000,2.961249,13.348672,3.354170,5.870805,4.142376,-24.803628,5.349046
0.050000,3.127458,13.098551,3.654480,6.006188,2.707645,-28.694617,5.249378
0.050000,3.269957,12.830401,3.958142,6.073252,1.341298,-27.326939,5.153231
0.050000,3.387116,12.549504,4.262492,6.087000,0.274956,-21.326841,5.062959
0.050000,3.479232,12.260426,4.565892,6.068000,-0.380001,-13.099149,4.980006
0.050000,3.547876,11.966540,4.867689,6.035925,-0.641499,-5.229958,4.904947
0.050000,3.595220,11.670011,5.167973,6.005685,-0.604805,0.733887,4.837701
0.050000,3.623547,11.372027,5.467301,5.986561,-0.382473,4.446639,4.777776
0.050000,3.634975,11.073087,5.766459,5.983154,-0.068142,6.286608,4.724477
0.050000,3.638145,10.858299,5.981270,4.296226,-33.738575,-673.408662,4.751907
0.050000,3.650822,10.675313,6.164695,3.668493,-12.554659,423.678331,4.813480
0.050000,3.674813,10.501169,6.340484,3.515786,-3.054135,190.010482,4.888235
0.050000,3.710570,10.340771,6.504819,3.286704,-4.581632,-30.549940,4.979532
0.050000,3.756210,10.202426,6.650497,2.913567,-7.462752,-57.622412,5.087992
0.050000,3.807847,10.091046,6.773266,2.455364,-9.164061,-34.026175,5.210899
0.050000,3.862882,10.003827,6.876397,2.062623,-7.854813,26.184960,5.344634
0.050000,3.921269,9.934549,6.966997,1.811999,-5.012474,56.846785,5.482941
0.050000,3.985915,9.876459,7.053908,1.738235,-1.475294,70.743596,5.618033
0.050000,4.060954,9.825038,7.144875,1.819328,1.621872,61.943327,5.743093
0.050000,4.149192,9.778827,7.244482,1.992139,3.456223,36.687021,5.854082
0.050000,4.250928,9.738282,7.353999,2.190341,3.964031,10.156146,5.949883
0.050000,4.364406,9.704297,7.472456,2.369147,3.576127,-7.758077,6.031351
0.050000,4.486880,9.677404,7.597848,2.507838,2.773824,-16.046061,6.100249
0.050000,4.615452,9.657597,7.727937,2.601779,1.878817,-17.900133,6.158548
0.050000,4.747513,9.644459,7.860650,2.654259,1.049597,-16.584394,6.208073
0.050000,4.880890,9.637328,7.994218,2.671363,0.342071,-14.150531,6.250379
0.050000,5.017871,9.635415,8.131212,2.739872,1.370194,20.562459,0.000000
0.050000,5.184796,9.635415,8.298137,3.338513,11.972810,212.052317,0.000000
0.050000,5.344378,9.635415,8.457719,3.191635,-2.937556,-298.207320,0.000000
0.050000,5.496616,9.635415,8.609957,3.044757,-2.937556,-0.000000,0.000000
0.050000,5.641510,9.635415,8.754851,2.897879,-2.937556,0.000000,0.000000
0.050000,5.779060,9.635415,8.892401,2.751001,-2.937556,0.000000,0.000000
0.050000,5.909266,9.635415,9.022607,2.604124,-2.937556,-0.000000,0.000000
0.050000,6.032128,9.635415,9.145470,2.457246,-2.937556,0.000000,0.000000
0.050000,6.147647,9.635415,9.260988,2.310368,-2.937556,0.000000,0.000000
0.050000,6.255821,9.635415,9.369163,2.163490,-2.937556,-0.000000,0.000000
0.050000,6.356652,9.635415,9.469993,2.016612,-2.937556,-0.000000,0.000000
