dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002922,12.499999,0.003704,0.148148,2.962963,59.259259,6.282454
0.050000,0.011799,12.499983,0.012580,0.177531,0.587660,-47.506061,6.280219
0.050000,0.026559,12.499911,0.027341,0.295218,2.353728,35.321361,6.276462
0.050000,0.047153,12.499718,0.047935,0.411881,2.333278,-0.408997,6.271130
0.050000,0.073503,12.499309,0.074289,0.527071,2.303793,-0.589710,6.264150
0.050000,0.105509,12.498560,0.106303,0.640290,2.264375,-0.788359,6.255424
0.050000,0.143037,12.497320,0.143852,0.750980,2.213812,-1.011250,6.244825
0.050000,0.185920,12.495405,0.186778,0.858507,2.150535,-1.265546,6.232195
0.050000,0.233945,12.492600,0.234884,0.962135,2.072565,-1.559394,6.217339
0.050000,0.286848,12.488655,0.287935,1.061009,1.977471,-1.901889,6.200020
0.050000,0.344305,12.483291,0.345641,1.154126,1.862332,-2.302781,6.179949
0.050000,0.405913,12.476195,0.407657,1.240313,1.723754,-2.771552,6.156781
0.050000,0.471183,12.467027,0.473567,1.318212,1.557982,-3.315434,6.130101
0.050000,0.539519,12.455424,0.542881,1.386273,1.361213,-3.935383,6.099418
0.050000,0.610204,12.441015,0.615020,1.442787,1.130284,-4.618588,6.064153
0.050000,0.682393,12.423433,0.689320,1.485988,0.864021,-5.325261,6.023643
0.050000,0.755110,12.402341,0.765033,1.514272,0.565673,-5.966946,5.977141
0.050000,0.827270,12.377455,0.841364,1.526619,0.246953,-6.374415,5.923852
0.050000,0.897744,12.348563,0.917530,1.523321,-0.065971,-6.258473,5.862992
0.050000,0.965465,12.315520,0.992884,1.507066,-0.325096,-5.182500,5.793916
0.050000,1.029602,12.278176,1.067100,1.484320,-0.454930,-2.596670,5.716299
0.050000,1.089740,12.236222,1.140426,1.466521,-0.355964,1.979312,5.630388
0.050000,1.146010,12.188928,1.213931,1.470111,0.071781,8.554909,5.537254
0.050000,1.199017,12.134877,1.289637,1.514106,0.879912,16.162604,5.438916
0.050000,1.249509,12.071867,1.370381,1.614884,2.015554,22.712837,5.338213
