dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.007980,14.135409,0.006250,0.250000,5.000000,100.000000,6.281607
0.050000,0.040098,14.135257,0.038368,0.642362,7.847237,56.944734,6.275338
0.050000,0.103746,14.134372,0.102023,1.273095,12.614665,95.348568,6.263311
0.050000,0.197799,14.131702,0.196114,1.881822,12.174543,-8.802449,6.246496
0.050000,0.320687,14.125924,0.319137,2.460461,11.572776,-12.035335,6.226217
0.050000,0.470528,14.115674,0.469329,3.003838,10.867539,-14.104735,6.204027
0.050000,0.645291,14.099781,0.644813,3.509682,10.116871,-15.013367,6.181579
0.050000,0.842931,14.077449,0.843710,3.977937,9.365115,-15.035121,6.160529
0.050000,1.061485,14.048402,1.064186,4.409516,8.631579,-14.670708,6.142492
0.050000,1.299094,14.012990,1.304419,4.804667,7.903020,-14.571183,6.129074
0.050000,1.553920,13.972311,1.562472,5.161066,7.127985,-15.500705,6.121981
0.050000,1.823938,13.928357,1.836044,5.471427,6.207219,-18.415327,6.123239
0.050000,2.106515,13.884259,2.122041,5.719942,4.970292,-24.738526,6.135570
0.050000,2.397631,13.844620,2.415844,5.876054,3.122238,-36.961094,6.163039
0.050000,2.690363,13.815897,2.709981,5.882759,0.134107,-59.762619,6.212212
0.050000,2.971998,13.806359,2.991778,5.635932,-4.936539,-101.412921,0.011045
0.050000,3.219561,13.823810,3.239955,4.963540,-13.447844,-170.226090,0.144601
0.050000,3.400097,13.867103,3.425610,3.713090,-25.008997,-231.223066,0.355107
0.050000,3.503737,13.921878,3.542833,2.344478,-27.372250,-47.265059,0.647821
0.050000,3.588390,14.012359,3.666741,2.478148,2.673409,600.913186,0.956600
0.050000,3.689283,14.207821,3.886706,4.399307,38.423183,714.995484,1.197279
0.050000,3.777848,14.511429,4.202967,6.325223,38.518322,1.902778,1.358807
0.050000,3.835508,14.884173,4.580145,7.543552,24.366563,-283.035193,1.466821
0.050000,3.861803,15.297185,4.993993,8.276964,14.668246,-193.966334,1.542611
0.050000,3.864585,15.765152,5.461969,9.359510,21.650915,139.653387,1.570796
0.050000,3.868241,16.288634,5.985463,10.469885,22.207512,11.131941,1.544747
0.050000,3.898806,16.834931,6.532615,10.943040,9.463093,-254.888375,1.481771
0.050000,3.969966,17.379236,7.081552,10.978742,0.714044,-174.980995,1.395352
0.050000,4.099589,17.926387,7.643847,11.245906,5.343281,92.584736,1.275000
0.050000,4.316859,18.476369,8.235190,11.826852,11.618912,125.512621,1.106731
0.050000,4.659160,19.006419,8.866160,12.619409,15.851143,84.644637,0.880971
0.050000,5.135263,19.449794,9.516741,13.011606,7.843946,-160.143950,0.615414
0.050000,5.675450,19.736542,10.128318,12.231550,-15.601126,-468.901445,0.362439
0.050000,6.184787,19.872265,10.655428,10.542194,-33.787112,-363.719718,0.162508
0.050000,6.622630,19.911075,11.094988,8.791196,-35.019972,-24.657198,0.018105
0.050000,6.989786,19.898366,11.462364,7.347519,-28.873541,122.928623,6.198640
0.050000,7.297420,19.860498,11.772319,6.199113,-22.968112,118.108578,6.124622
0.050000,7.555640,19.811804,12.035090,5.255421,-18.873835,81.885538,6.070177
0.050000,7.771771,19.760345,12.257263,4.443450,-16.239428,52.688144,6.029485
0.050000,7.950866,19.710920,12.443052,3.715791,-14.553172,33.725122,5.998826
0.050000,8.096391,19.666536,12.595195,3.042862,-13.458590,21.891644,5.975785
0.050000,8.210733,19.629152,12.715494,2.405967,-12.737898,14.413826,5.958775
0.050000,8.295527,19.600064,12.805138,1.792884,-12.261647,9.525019,5.946745
0.050000,8.351861,19.580116,12.864900,1.195233,-11.953038,6.172192,5.939015
0.050000,8.380406,19.569822,12.895244,0.606888,-11.766883,3.723090,5.935177
0.050000,8.388065,19.567039,12.903393,0.162978,-8.878217,57.773321,5.934155
0.050000,8.388335,19.566941,12.903680,0.005745,-3.144658,114.671192,5.934119
0.050000,8.388335,19.566941,12.903680,0.000000,-0.114892,60.595304,5.934119
