dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004445,12.364587,0.003672,0.146878,2.937556,58.751129,0.000725
0.050000,0.017976,12.364611,0.017203,0.270622,2.474885,-9.253438,0.002940
0.050000,0.040565,12.364720,0.039792,0.451782,3.623190,22.966103,0.006665
0.050000,0.072268,12.365015,0.071496,0.634081,3.645996,0.456130,0.011950
0.050000,0.113164,12.365645,0.112397,0.818025,3.678871,0.657487,0.018867
0.050000,0.163359,12.366808,0.162606,1.004165,3.722803,0.878649,0.027514
0.050000,0.222983,12.368761,0.222262,1.193122,3.779131,1.126563,0.038013
0.050000,0.292195,12.371825,0.291542,1.385601,3.849587,1.409121,0.050520
0.050000,0.371184,12.376398,0.370663,1.582418,3.936351,1.735278,0.065227
0.050000,0.460168,12.382973,0.459889,1.784524,4.042103,2.115039,0.082367
0.050000,0.559396,12.392150,0.559540,1.993027,4.170060,2.559137,0.102220
0.050000,0.669145,12.404671,0.670001,2.209225,4.323962,3.078039,0.125127
0.050000,0.789715,12.421442,0.791733,2.434622,4.507954,3.679850,0.151493
0.050000,0.921415,12.443579,0.925279,2.670935,4.726254,4.365991,0.181799
0.050000,1.064534,12.472450,1.071282,2.920056,4.982416,5.123249,0.216609
0.050000,1.219304,12.509737,1.230480,3.183951,5.277900,5.909666,0.256574
0.050000,1.385812,12.557491,1.403701,3.464424,5.609471,6.631418,0.302427
0.050000,1.563888,12.618180,1.591834,3.762669,5.964890,7.108380,0.354952
0.050000,1.752909,12.694706,1.795759,4.078492,6.316463,7.031473,0.414924
0.050000,1.951544,12.790339,2.016216,4.409142,6.612996,5.930650,0.482999
0.050000,2.157436,12.908502,2.253606,4.747804,6.773242,3.204922,0.559534
0.050000,2.366915,13.052347,2.507718,5.082232,6.688556,-1.693723,0.644343
0.050000,2.574894,13.224096,2.777446,5.394559,6.246537,-8.840370,0.736456
0.050000,2.775173,13.424300,3.060630,5.663686,5.382558,-17.279591,0.833967
0.050000,2.961249,13.651328,3.354170,5.870805,4.142376,-24.803628,0.934139
0.050000,3.127458,13.901449,3.654480,6.006188,2.707645,-28.694617,1.033807
0.050000,3.269957,14.169599,3.958142,6.073252,1.341298,-27.326939,1.129954
0.050000,3.387116,14.450496,4.262492,6.087000,0.274956,-21.326841,1.220227
0.050000,3.479232,14.739574,4.565892,6.068000,-0.380001,-13.099149,1.303180
0.050000,3.547876,15.033460,4.867689,6.035925,-0.641499,-5.229958,1.378238
0.050000,3.595220,15.329989,5.167973,6.005685,-0.604805,0.733887,1.445484
0.050000,3.623547,15.627973,5.467301,5.986561,-0.382473,4.446639,1.505409
0.050000,3.634975,15.926913,5.766459,5.983154,-0.068142,6.286608,1.558709
0.050000,3.638145,16.141701,5.981270,4.296226,-33.738575,-673.408662,1.531278
0.050000,3.650822,16.324687,6.164695,3.668493,-12.554659,423.678331,1.469705
0.050000,3.674813,16.498831,6.340484,3.515786,-3.054135,190.010482,1.394950
0.050000,3.710570,16.659229,6.504819,3.286704,-4.581632,-30.549940,1.303653
0.050000,3.756210,16.797574,6.650497,2.913567,-7.462752,-57.622412,1.195194
0.050000,3.807847,16.908954,6.773266,2.455364,-9.164061,-34.026175,1.072286
0.050000,3.862882,16.996173,6.876397,2.062623,-7.854813,26.184960,0.938552
0.050000,3.921269,17.065451,6.966997,1.811999,-5.012474,56.846785,0.800245
0.050000,3.985915,17.123541,7.053908,1.738235,-1.475294,70.743596,0.665152
0.050000,4.060954,17.174962,7.144875,1.819328,1.621872,61.943327,0.540092
0.050000,4.149192,17.221173,7.244482,1.992139,3.456223,36.687021,0.429103
0.050000,4.250928,17.261718,7.353999,2.190341,3.964031,10.156146,0.333302
