dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.066827,14.635048,0.054345,0.543448,2.717240,13.586199,6.272147
0.200000,0.269999,14.629252,0.257599,1.016273,2.364126,-1.765568,6.236714
0.200000,0.617470,14.601541,0.606174,1.742874,3.633005,6.344397,6.168970
0.200000,1.123240,14.514175,1.119434,2.566299,4.117125,2.420600,6.051709
0.200000,1.798868,14.284630,1.832992,3.567788,5.007441,4.451580,5.852986
0.200000,2.591790,13.760464,2.783505,4.752566,5.923893,4.582258,5.538860
0.200000,3.260740,12.849772,3.913484,5.649897,4.486653,-7.186199,5.159836
0.200000,3.586373,11.736407,5.073492,5.800040,0.750715,-18.679690,4.852066
0.200000,3.644774,10.743371,6.068244,4.973760,-4.131400,-24.410579,4.788927
0.200000,3.764961,10.180883,6.643429,2.875924,-10.489177,-31.788884,5.108650
0.200000,3.954980,9.902289,6.980655,1.686131,-5.948965,22.701062,5.556458
0.200000,4.227480,9.746658,7.294466,1.569055,-0.585384,26.817902,5.930109
0.200000,4.597162,9.659959,7.674179,1.898565,1.647553,11.164688,6.150944
0.200000,4.975719,9.635492,8.053525,1.896730,-0.009176,-8.283646,6.276824
0.200000,5.382308,9.635415,8.460115,2.032948,0.681089,3.451326,0.000000
0.200000,5.687450,9.635415,8.765257,1.525711,-2.536182,-16.086356,0.000000
0.200000,5.883903,9.635415,8.961710,0.982264,-2.717240,-0.905289,0.000000
0.200000,5.971666,9.635415,9.049473,0.438816,-2.717240,0.000000,0.000000
0.200000,5.988375,9.635415,9.066182,0.083546,-1.776349,4.704454,0.000000
0.200000,5.988375,9.635415,9.066182,0.000000,-0.417729,6.793099,0.000000
0.200000,5.988375,9.635415,9.066182,0.000000,0.000000,2.088645,0.000000
