dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.041761,12.364356,0.054345,0.543448,2.717240,13.586199,6.272147
0.200000,0.164508,12.360874,0.177142,0.613985,0.352687,-11.822762,6.236714
0.200000,0.358671,12.345507,0.371911,0.973846,1.799305,7.233088,6.168970
0.200000,0.602277,12.303911,0.619043,1.235661,1.309073,-2.451162,6.051709
0.200000,0.851815,12.220712,0.882085,1.315211,0.397749,-4.556619,5.852986
0.200000,1.053358,12.090166,1.122215,1.200647,-0.572819,-4.852838,5.538860
0.200000,1.213462,11.867263,1.396658,1.372214,0.857838,7.153283,5.159836
0.200000,1.337658,11.420254,1.860599,2.319708,4.737466,19.398141,4.852066
0.200000,1.380592,10.569735,2.712201,4.258011,9.691515,24.770246,4.788927
0.200000,1.670096,9.304406,4.010226,6.490125,11.160573,7.345292,5.108650
0.200000,2.446178,8.205179,5.355813,6.727934,1.189042,-49.857656,5.556458
0.200000,3.442259,7.615908,6.513146,5.786663,-4.706352,-29.476972,5.930109
0.200000,4.297739,7.408956,7.393301,4.400778,-6.929426,-11.115369,6.150944
0.200000,4.961274,7.364708,8.058311,3.325047,-5.378654,7.753859,6.276824
0.200000,5.382308,7.364585,8.479345,2.105169,-6.099390,-3.603681,0.000000
0.200000,5.687450,7.364585,8.784487,1.525711,-2.897288,16.010514,0.000000
0.200000,5.883903,7.364585,8.980940,0.982264,-2.717240,0.900239,0.000000
0.200000,5.971666,7.364585,9.068703,0.438816,-2.717240,0.000000,0.000000
0.200000,5.988375,7.364585,9.085412,0.083546,-1.776349,4.704454,0.000000
0.200000,5.988375,7.364585,9.085412,0.000000,-0.417729,6.793099,0.000000
0.200000,5.988375,7.364585,9.085412,0.000000,0.000000,2.088645,0.000000
