dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.006150,24.635415,0.006250,0.250000,5.000000,100.000000,0.000000
0.050000,0.031150,24.635415,0.031250,0.500000,5.000000,-0.000000,0.000000
0.050000,0.081150,24.635415,0.081250,1.000000,10.000000,100.000000,0.000000
0.050000,0.156150,24.635415,0.156250,1.500000,10.000000,-0.000000,0.000000
0.050000,0.256150,24.635415,0.256250,2.000000,10.000000,-0.000000,0.000000
0.050000,0.381150,24.635415,0.381250,2.500000,10.000000,-0.000000,0.000000
0.050000,0.531150,24.635415,0.531250,3.000000,10.000000,-0.000000,0.000000
0.050000,0.706150,24.635415,0.706250,3.500000,10.000000,0.000000,0.000000
0.050000,0.906150,24.635415,0.906250,4.000000,10.000000,0.000000,0.000000
0.050000,1.131150,24.635415,1.131250,4.500000,10.000000,-0.000000,0.000000
0.050000,1.381150,24.635415,1.381250,5.000000,10.000000,-0.000000,0.000000
0.050000,1.656150,24.635415,1.656250,5.500000,10.000000,-0.000000,0.000000
0.050000,1.956150,24.635415,1.956250,6.000000,10.000000,0.000000,0.000000
0.050000,2.281150,24.635415,2.281250,6.500000,10.000000,-0.000000,0.000000
0.050000,2.631150,24.635415,2.631250,7.000000,10.000000,0.000000,0.000000
0.050000,3.006150,24.635415,3.006250,7.500000,10.000000,0.000000,0.000000
0.050000,3.406150,24.635415,3.406250,8.000000,10.000000,-0.000000,0.000000
0.050000,3.831150,24.635415,3.831250,8.500000,10.000000,0.000000,0.000000
0.050000,4.281150,24.635415,4.281250,9.000000,10.000000,-0.000000,0.000000
0.050000,4.756150,24.635415,4.756250,9.500000,10.000000,0.000000,0.000000
0.050000,5.249900,24.635415,5.250000,9.875000,7.500000,-50.000000,0.000000
0.050000,5.749900,24.635415,5.750000,10.000000,2.500000,-100.000000,0.000000
0.050000,6.249900,24.635415,6.250000,10.000000,0.000000,-50.000000,0.000000
0.050000,6.749900,24.635415,6.750000,10.000000,0.000000,-0.000000,0.000000
0.050000,7.249900,24.635415,7.250000,10.000000,-0.000000,-0.000000,0.000000
0.050000,7.749900,24.635415,7.750000,10.000000,0.000000,0.000000,0.000000
0.050000,8.249900,24.635415,8.250000,10.000000,-0.000000,-0.000000,0.000000
0.050000,8.749900,24.635415,8.750000,10.000000,0.000000,0.000000,0.000000
0.050000,9.249900,24.635415,9.250000,10.000000,0.000000,0.000000,0.000000
0.050000,9.749900,24.635415,9.750000,10.000000,-0.000000,-0.000000,0.000000
0.050000,10.292562,24.629986,10.292689,10.853775,17.075506,341.510110,6.245490
0.050000,10.887001,24.581976,10.889064,11.927508,21.474654,87.982960,6.156931
0.050000,11.481325,24.474714,11.492989,12.078497,3.019778,-369.097509,6.049118
0.050000,12.058323,24.298691,12.096240,12.065022,-0.269495,-65.785465,5.921775
0.050000,12.600999,24.048310,12.693891,11.953020,-2.240037,-39.410835,5.777247
0.050000,13.088959,23.726862,13.278214,11.686465,-5.331100,-61.821251,5.622383
0.050000,13.502329,23.351152,13.836814,11.171995,-10.289413,-99.166264,5.468182
0.050000,13.831267,22.947846,14.357252,10.408768,-15.264541,-99.502571,5.325673
0.050000,14.079551,22.543488,14.831752,9.489995,-18.375449,-62.218149,5.201727
0.050000,14.259982,22.157082,15.258209,8.529130,-19.217296,-16.836944,5.098175
0.050000,14.387740,21.799145,15.638262,7.601066,-18.561293,13.120058,5.013542
0.050000,14.476398,21.474241,15.975045,6.735658,-17.308153,25.062797,4.945042
0.050000,14.536703,21.183661,16.271817,5.935441,-16.004341,26.076246,4.889787
0.050000,14.576741,20.927180,16.531404,5.191746,-14.873893,22.608959,4.845278
0.050000,14.602476,20.703991,16.756072,4.493349,-13.967940,18.119048,4.809515
0.050000,14.618295,20.513151,16.947567,3.829907,-13.268839,13.982020,4.780953
0.050000,14.627423,20.353767,17.107212,3.192892,-12.740301,10.570761,4.758429
0.050000,14.632225,20.225079,17.235989,2.575551,-12.346833,7.869377,4.741073
0.050000,14.634419,20.126475,17.334618,1.972573,-12.059559,5.745477,4.728252
0.050000,14.635211,20.057493,17.403604,1.379727,-11.856910,4.052972,4.719521
0.050000,14.635395,20.017816,17.443281,0.793540,-11.723743,2.663333,4.714585
0.050000,14.635415,20.002636,17.458461,0.303604,-9.798725,38.500365,4.712713
0.050000,14.635415,20.000000,17.461098,0.052726,-5.017548,95.623546,4.712389
0.050000,14.635415,20.000000,17.461098,0.000000,-1.054528,79.260399,4.712389
