dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003587,22.364585,0.003687,0.147485,2.949696,58.993915,0.000000
0.050000,0.014648,22.364585,0.014748,0.221227,1.474848,-29.496958,0.000000
0.050000,0.033084,22.364585,0.033184,0.368712,2.949696,29.496958,0.000000
0.050000,0.058894,22.364585,0.058994,0.516197,2.949696,0.000000,0.000000
0.050000,0.092078,22.364585,0.092178,0.663682,2.949696,-0.000000,0.000000
0.050000,0.132636,22.364585,0.132736,0.811166,2.949696,-0.000000,0.000000
0.050000,0.180569,22.364585,0.180669,0.958651,2.949696,-0.000000,0.000000
0.050000,0.235876,22.364585,0.235976,1.106136,2.949696,0.000000,0.000000
0.050000,0.298557,22.364585,0.298657,1.253621,2.949696,-0.000000,0.000000
0.050000,0.368612,22.364585,0.368712,1.401105,2.949696,-0.000000,0.000000
0.050000,0.446041,22.364585,0.446141,1.548590,2.949696,0.000000,0.000000
0.050000,0.530845,22.364585,0.530945,1.696075,2.949696,0.000000,0.000000
0.050000,0.623023,22.364585,0.623123,1.843560,2.949696,-0.000000,0.000000
0.050000,0.722575,22.364585,0.722675,1.991045,2.949696,0.000000,0.000000
0.050000,0.829502,22.364585,0.829602,2.138529,2.949696,-0.000000,0.000000
0.050000,0.943803,22.364585,0.943903,2.286014,2.949696,-0.000000,0.000000
0.050000,1.065478,22.364585,1.065578,2.433499,2.949696,0.000000,0.000000
0.050000,1.194527,22.364585,1.194627,2.580984,2.949696,0.000000,0.000000
0.050000,1.330950,22.364585,1.331050,2.728469,2.949696,-0.000000,0.000000
0.050000,1.474748,22.364585,1.474848,2.875953,2.949696,0.000000,0.000000
0.050000,1.625920,22.364585,1.626020,3.023438,2.949696,0.000000,0.000000
0.050000,1.784466,22.364585,1.784566,3.170923,2.949696,0.000000,0.000000
0.050000,1.950386,22.364585,1.950486,3.318408,2.949696,0.000000,0.000000
0.050000,2.123681,22.364585,2.123781,3.465893,2.949696,0.000000,0.000000
0.050000,2.304350,22.364585,2.304450,3.613377,2.949696,-0.000000,0.000000
0.050000,2.492393,22.364585,2.492493,3.760862,2.949696,0.000000,0.000000
0.050000,2.687810,22.364585,2.687910,3.908347,2.949696,-0.000000,0.000000
0.050000,2.890602,22.364585,2.890702,4.055832,2.949696,0.000000,0.000000
0.050000,3.100768,22.364585,3.100868,4.203316,2.949696,-0.000000,0.000000
0.050000,3.318308,22.364585,3.318408,4.350801,2.949696,-0.000000,0.000000
0.050000,3.543222,22.364585,3.543322,4.498286,2.949696,0.000000,0.000000
0.050000,3.775511,22.364585,3.775611,4.645771,2.949696,0.000000,0.000000
0.050000,4.015173,22.364585,4.015273,4.793256,2.949696,-0.000000,0.000000
0.050000,4.262210,22.364585,4.262310,4.940740,2.949696,0.000000,0.000000
0.050000,4.516622,22.364585,4.516722,5.088225,2.949696,-0.000000,0.000000
0.050000,4.778407,22.364585,4.778507,5.235710,2.949696,-0.000000,0.000000
0.050000,5.047567,22.364585,5.047667,5.383195,2.949696,0.000000,0.000000
0.050000,5.324101,22.364585,5.324201,5.530680,2.949696,0.000000,0.000000
0.050000,5.608009,22.364585,5.608109,5.678164,2.949696,-0.000000,0.000000
0.050000,5.899292,22.364585,5.899392,5.825649,2.949696,-0.000000,0.000000
0.050000,6.197948,22.364585,6.198048,5.973134,2.949696,0.000000,0.000000
0.050000,6.503979,22.364585,6.504079,6.120619,2.949696,-0.000000,0.000000
0.050000,6.817384,22.364585,6.817484,6.268103,2.949696,0.000000,0.000000
0.050000,7.138164,22.364585,7.138264,6.415588,2.949696,-0.000000,0.000000
0.050000,7.466317,22.364585,7.466417,6.563073,2.949696,-0.000000,0.000000
0.050000,7.801845,22.364585,7.801945,6.710558,2.949696,0.000000,0.000000
0.050000,8.138216,22.364585,8.138316,6.727420,0.337251,-52.248894,0.000000
0.050000,8.468056,22.364585,8.468156,6.596798,-2.612445,-58.993915,0.000000
0.050000,8.790522,22.364585,8.790622,6.449313,-2.949696,-6.745022,0.000000
0.050000,9.105613,22.364585,9.105713,6.301829,-2.949696,-0.000000,0.000000
0.050000,9.413331,22.364585,9.413431,6.154344,-2.949696,0.000000,0.000000
0.050000,9.713673,22.364585,9.713773,6.006859,-2.949696,0.000000,0.000000
0.050000,10.005505,22.364582,10.005605,5.836624,-3.404706,-9.100206,6.282245
0.050000,10.241561,22.359347,10.241719,4.722286,-22.286762,-377.641128,6.238683
0.050000,10.464618,22.344172,10.465292,4.471455,-5.016620,345.402842,6.190572
0.050000,10.673664,22.319293,10.675813,4.210418,-5.220740,-4.082387,6.137463
0.050000,10.867710,22.285150,10.872839,3.940537,-5.397615,-3.537497,6.078967
0.050000,11.045897,22.242411,11.056081,3.664827,-5.514206,-2.331819,6.014828
0.050000,11.207638,22.191966,11.225506,3.388504,-5.526450,-0.244892,5.945018
0.050000,11.352776,22.134869,11.381471,3.119306,-5.383971,2.849591,5.869849
0.050000,11.481719,22.072212,11.524831,2.867195,-5.042203,6.835349,5.790075
0.050000,11.595480,22.004956,11.656986,2.643110,-4.481713,11.209799,5.706927
0.050000,11.695586,21.933770,11.779822,2.456710,-3.728000,15.074263,5.622065
0.050000,11.783831,21.858960,11.895510,2.313767,-2.858858,17.382840,5.537401
0.050000,11.861989,21.780541,12.006227,2.214339,-1.988559,17.405989,5.454850
0.050000,11.931564,21.698414,12.113863,2.152722,-1.232338,15.124407,5.376077
0.050000,11.993683,21.612572,12.219824,2.119212,-0.670196,11.242845,5.302321
0.050000,12.049126,21.523242,12.324960,2.102730,-0.329643,6.811063,5.234329
0.050000,12.098426,21.430924,12.429617,2.093127,-0.192054,2.751775,5.172407
0.050000,12.141984,21.336348,12.533742,2.082507,-0.212400,-0.406912,5.116508
0.050000,12.180160,21.240385,12.637020,2.065553,-0.339095,-2.533914,5.066356
0.050000,12.213314,21.143965,12.738981,2.039216,-0.526738,-3.752841,5.021536
0.050000,12.241830,21.048005,12.839088,2.002156,-0.741185,-4.288950,4.981578
0.050000,12.266111,20.953361,12.936797,1.954176,-0.959616,-4.368614,4.946000
0.050000,12.286571,20.860807,13.031585,1.895759,-1.168339,-4.174459,4.914343
0.050000,12.303624,20.771025,13.122973,1.827751,-1.360153,-3.836287,4.886185
