dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.072802,24.634979,0.059183,0.591833,2.959164,14.795820,6.271145
0.200000,0.294375,24.628064,0.280864,1.108405,2.582862,-1.881510,6.232265
0.200000,0.674226,24.594687,0.662179,1.906575,3.990848,7.039931,6.156972
0.200000,1.228759,24.487769,1.226926,2.823732,4.585783,2.974676,6.024088
0.200000,1.966451,24.201793,2.018108,3.955914,5.660914,5.375655,5.794856
0.200000,2.792230,23.556734,3.065970,5.239307,6.416962,3.780235,5.440455
0.200000,3.397720,22.520100,4.266482,6.002561,3.816269,-13.003462,5.054078
0.200000,3.625727,21.336954,5.471397,6.024576,0.110077,-18.530959,4.771186
0.200000,3.635415,20.264367,6.544027,5.363151,-3.307125,-17.086013,4.712389
0.200000,3.635415,19.139885,7.668510,5.622412,1.296303,23.017142,4.712389
0.200000,3.635415,17.897036,8.911359,6.214244,2.959164,8.314304,4.712389
0.200000,3.635415,16.535821,10.272574,6.806077,2.959164,0.000000,4.712389
0.200000,3.635415,15.056239,11.752156,7.397910,2.959164,0.000000,4.712389
0.200000,3.635415,13.572334,13.236061,7.419525,0.108075,-14.255447,4.712389
0.200000,3.635415,12.202472,14.605922,6.849307,-2.851089,-14.795820,4.712389
0.200000,3.635601,10.962315,15.846080,6.200789,-3.242588,-1.957492,4.722329
0.200000,3.746096,10.229009,16.587664,3.707918,-12.464359,-46.108855,5.064138
0.200000,3.972620,9.887165,16.997750,2.050430,-8.287440,20.884594,5.592302
0.200000,4.342965,9.709972,17.408301,2.052759,0.011646,41.495428,6.017496
0.200000,4.858172,9.638150,17.928490,2.600944,2.740927,13.646409,6.243629
0.200000,5.472865,9.635415,18.543190,3.073496,2.362760,-1.890836,0.000000
0.200000,6.014161,9.635415,19.084485,2.706477,-1.835095,-20.989274,0.000000
0.200000,6.437090,9.635415,19.507414,2.114645,-2.959164,-5.620347,0.000000
0.200000,6.741652,9.635415,19.811976,1.522812,-2.959164,-0.000000,0.000000
0.200000,6.927848,9.635415,19.998172,0.930979,-2.959164,-0.000000,0.000000
0.200000,6.995677,9.635415,20.066001,0.339146,-2.959164,0.000000,0.000000
0.200000,7.000000,9.635415,20.070324,0.021615,-1.587657,6.857537,0.000000
0.200000,7.000000,9.635415,20.070324,0.000000,-0.108075,7.397910,0.000000
