dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002819,4.635416,0.003699,0.147958,2.959164,59.183280,0.000731
0.050000,0.011382,4.635432,0.012262,0.171260,0.466032,-49.862637,0.002962
0.050000,0.025616,4.635501,0.026496,0.284677,2.268341,36.046183,0.006715
0.050000,0.045462,4.635687,0.046343,0.396936,2.245183,-0.463159,0.012040
0.050000,0.070835,4.636080,0.071719,0.507526,2.211795,-0.667777,0.019010
0.050000,0.101621,4.636799,0.102513,0.615884,2.167161,-0.892677,0.027724
0.050000,0.137670,4.637988,0.138582,0.721379,2.109911,-1.144990,0.038308
0.050000,0.178794,4.639822,0.179747,0.823293,2.038271,-1.432811,0.050920
0.050000,0.224756,4.642503,0.225786,0.920793,1.950003,-1.765349,0.065753
0.050000,0.275261,4.646263,0.276432,1.012911,1.842359,-2.152888,0.083046
0.050000,0.329950,4.651361,0.331358,1.098513,1.712036,-2.606446,0.103084
0.050000,0.388379,4.658080,0.390171,1.176273,1.555199,-3.136755,0.126213
0.050000,0.450008,4.666723,0.452404,1.244653,1.367598,-3.752013,0.152846
0.050000,0.514188,4.677602,0.517499,1.301899,1.144929,-4.453376,0.183473
0.050000,0.580140,4.691022,0.584803,1.346079,0.883604,-5.226509,0.218669
0.050000,0.646954,4.707264,0.653562,1.375193,0.582266,-6.026750,0.259098
0.050000,0.713589,4.726554,0.722933,1.387419,0.244532,-6.754689,0.305502
0.050000,0.778909,4.749033,0.792013,1.381596,-0.116469,-7.220020,0.358677
0.050000,0.841756,4.774739,0.859915,1.358029,-0.471334,-7.097295,0.419403
0.050000,0.901088,4.803617,0.925901,1.319726,-0.766062,-5.894555,0.488329
0.050000,0.956171,4.835604,0.989598,1.273946,-0.915600,-2.990757,0.565785
0.050000,1.006803,4.870827,1.051276,1.233567,-0.807579,2.160405,0.651531
0.050000,1.053447,4.909916,1.112133,1.217138,-0.328572,9.580154,0.744514
0.050000,1.097140,4.954339,1.174443,1.246190,0.581027,18.191971,0.842730
0.050000,1.139093,5.006537,1.241411,1.339359,1.863392,25.647297,0.943356
0.050000,1.180106,5.069657,1.316685,1.505487,3.322563,29.183421,1.043180
0.050000,1.220121,5.146901,1.403679,1.739877,4.687789,27.304527,1.139195
0.050000,1.258167,5.240808,1.505000,2.026426,5.730990,20.864009,1.229107
0.050000,1.292675,5.352815,1.622202,2.344028,6.352024,12.420693,1.311549
0.050000,1.321917,5.483228,1.755853,2.673031,6.580077,4.561048,1.386020
0.050000,1.344358,5.631483,1.905797,2.998878,6.516924,-1.263058,1.452661
0.050000,1.358821,5.796486,2.071433,3.312715,6.276744,-4.803606,1.512000
0.050000,1.364515,5.976912,2.251949,3.610314,5.951978,-6.495308,1.564752
0.050000,1.364585,6.217779,2.492816,4.817337,24.140471,363.769853,1.570796
0.050000,1.364585,6.473007,2.748043,5.104558,5.744412,-367.921171,1.570796
0.050000,1.364585,6.735633,3.010669,5.252516,2.959164,-55.704965,1.570796
0.050000,1.364585,7.005656,3.280693,5.400474,2.959164,0.000000,1.570796
0.050000,1.364585,7.283078,3.558115,5.548432,2.959164,-0.000000,1.570796
0.050000,1.364585,7.567897,3.842934,5.696391,2.959164,-0.000000,1.570796
0.050000,1.364585,7.860115,4.135152,5.844349,2.959164,0.000000,1.570796
0.050000,1.364585,8.159730,4.434767,5.992307,2.959164,0.000000,1.570796
0.050000,1.364585,8.466744,4.741780,6.140265,2.959164,-0.000000,1.570796
0.050000,1.364585,8.781155,5.056191,6.288223,2.959164,0.000000,1.570796
0.050000,1.364585,9.102964,5.378000,6.436182,2.959164,-0.000000,1.570796
0.050000,1.364585,9.432171,5.707207,6.584140,2.959164,0.000000,1.570796
0.050000,1.364585,9.768776,6.043812,6.732098,2.959164,-0.000000,1.570796
0.050000,1.364585,10.112778,6.387815,6.880056,2.959164,0.000000,1.570796
0.050000,1.364585,10.464179,6.739216,7.028014,2.959164,0.000000,1.570796
0.050000,1.364585,10.822978,7.098015,7.175973,2.959164,-0.000000,1.570796
0.050000,1.364585,11.189174,7.464211,7.323931,2.959164,0.000000,1.570796
0.050000,1.364585,11.562769,7.837806,7.471889,2.959164,-0.000000,1.570796
0.050000,1.364585,11.943761,8.218798,7.619847,2.959164,-0.000000,1.570796
0.050000,1.364585,12.325834,8.600871,7.641462,0.432298,-50.537313,1.570796
0.050000,1.364585,12.701590,8.976627,7.515119,-2.526866,-59.183280,1.570796
0.050000,1.364585,13.069948,9.344985,7.367161,-2.959164,-8.645967,1.570796
