dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004478,2.364587,0.003699,0.147958,2.959164,59.183280,0.000731
0.050000,0.018109,2.364612,0.017330,0.272615,2.493130,-9.320679,0.002962
0.050000,0.040865,2.364722,0.040085,0.455114,3.649980,23.136994,0.006715
0.050000,0.072802,2.365021,0.072024,0.638770,3.673129,0.462983,0.012040
0.050000,0.114002,2.365660,0.113229,0.824095,3.706504,0.667502,0.019010
0.050000,0.164570,2.366842,0.163811,1.011651,3.751118,0.892286,0.027724
0.050000,0.224641,2.368824,0.223915,1.202068,3.808340,1.144439,0.038308
0.050000,0.294375,2.371936,0.293718,1.396065,3.879943,1.432051,0.050920
0.050000,0.373963,2.376581,0.373442,1.594473,3.968158,1.764300,0.065753
0.050000,0.463628,2.383259,0.463355,1.798260,4.075730,2.151444,0.083046
0.050000,0.563622,2.392586,0.563782,2.008557,4.205952,2.604449,0.103084
0.050000,0.674226,2.405313,0.675117,2.226690,4.362652,3.133990,0.126213
0.050000,0.795745,2.422367,0.797827,2.454193,4.550061,3.748176,0.152846
0.050000,0.928489,2.444885,0.932467,2.692816,4.772463,4.448037,0.183473
0.050000,1.072752,2.474267,1.079692,2.944487,5.033418,5.219102,0.218669
0.050000,1.228759,2.512231,1.240252,3.211199,5.334244,6.016527,0.259098
0.050000,1.396591,2.560872,1.414990,3.494763,5.671282,6.740762,0.305502
0.050000,1.576051,2.622714,1.604806,3.796331,6.031357,7.201497,0.358677
0.050000,1.766473,2.700717,1.810586,4.115583,6.385040,7.073669,0.419403
0.050000,1.966451,2.798207,2.033061,4.449502,6.678366,5.866509,0.488329
0.050000,2.173514,2.918642,2.272602,4.790824,6.826439,2.961459,0.565785
0.050000,2.383845,3.065162,2.528936,5.126686,6.717243,-2.183923,0.651531
0.050000,2.592194,3.239908,2.800865,5.438580,6.237895,-9.586962,0.744514
0.050000,2.792230,3.443266,3.086118,5.705048,5.329357,-18.170759,0.842730
0.050000,2.977405,3.673391,3.381494,5.907531,4.049661,-25.593906,0.943356
0.050000,3.142125,3.926350,3.683356,6.037246,2.594295,-29.107327,1.043180
0.050000,3.282710,4.196955,3.988301,6.098895,1.232977,-27.226351,1.139195
0.050000,3.397720,4.479900,4.293728,6.108534,0.192780,-20.803947,1.229107
0.050000,3.487621,4.770680,4.598088,6.087202,-0.426631,-12.388215,1.311549
0.050000,3.554092,5.066017,4.900812,6.054486,-0.654323,-4.553841,1.386020
0.050000,3.599361,5.363841,5.202057,6.024904,-0.591653,1.253392,1.452661
0.050000,3.625727,5.663046,5.502422,6.007285,-0.352368,4.785698,1.512000
0.050000,3.635304,5.963186,5.802714,6.005855,-0.028605,6.475268,1.564752
0.050000,3.635415,6.217779,6.057307,5.091856,-18.279988,-365.027672,1.570796
0.050000,3.635415,6.473007,6.312535,5.104558,0.254047,370.680713,1.570796
0.050000,3.635415,6.735633,6.575161,5.252516,2.959164,54.102334,1.570796
0.050000,3.635415,7.005656,6.845185,5.400474,2.959164,0.000000,1.570796
0.050000,3.635415,7.283078,7.122606,5.548432,2.959164,-0.000000,1.570796
0.050000,3.635415,7.567897,7.407426,5.696391,2.959164,-0.000000,1.570796
0.050000,3.635415,7.860115,7.699643,5.844349,2.959164,0.000000,1.570796
0.050000,3.635415,8.159730,7.999259,5.992307,2.959164,0.000000,1.570796
0.050000,3.635415,8.466744,8.306272,6.140265,2.959164,-0.000000,1.570796
0.050000,3.635415,8.781155,8.620683,6.288223,2.959164,0.000000,1.570796
0.050000,3.635415,9.102964,8.942492,6.436182,2.959164,-0.000000,1.570796
0.050000,3.635415,9.432171,9.271699,6.584140,2.959164,0.000000,1.570796
0.050000,3.635415,9.768776,9.608304,6.732098,2.959164,-0.000000,1.570796
0.050000,3.635415,10.112778,9.952307,6.880056,2.959164,0.000000,1.570796
0.050000,3.635415,10.464179,10.303708,7.028014,2.959164,0.000000,1.570796
0.050000,3.635415,10.822978,10.662506,7.175973,2.959164,-0.000000,1.570796
0.050000,3.635415,11.189174,11.028703,7.323931,2.959164,0.000000,1.570796
0.050000,3.635415,11.562769,11.402297,7.471889,2.959164,-0.000000,1.570796
0.050000,3.635415,11.943761,11.783290,7.619847,2.959164,-0.000000,1.570796
0.050000,3.635415,12.325834,12.165363,7.641462,0.432298,-50.537313,1.570796
0.050000,3.635415,12.701590,12.541119,7.515119,-2.526866,-59.183280,1.570796
0.050000,3.635415,13.069948,12.909477,7.367161,-2.959164,-8.645967,1.570796
0.050000,3.635415,13.430908,13.270437,7.219203,-2.959164,0.000000,1.570796
0.050000,3.635415,13.784471,13.623999,7.071244,-2.959164,0.000000,1.570796
0.050000,3.635415,14.130635,13.970163,6.923286,-2.959164,-0.000000,1.570796
0.050000,3.635415,14.469401,14.308930,6.775328,-2.959164,0.000000,1.570796
0.050000,3.635415,14.800770,14.640298,6.627370,-2.959164,-0.000000,1.570796
0.050000,3.635415,15.124740,14.964269,6.479412,-2.959164,0.000000,1.570796
0.050000,3.635415,15.441313,15.280841,6.331453,-2.959164,0.000000,1.570796
0.050000,3.635415,15.750488,15.590016,6.183495,-2.959164,0.000000,1.570796
0.050000,3.635627,16.040169,15.879697,5.793615,-7.797598,-96.768673,1.560188
0.050000,3.644930,16.258656,16.098383,4.373715,-28.398006,-412.008174,1.493557
0.050000,3.667587,16.455570,16.296596,3.964261,-8.189071,404.178713,1.415421
0.050000,3.702291,16.627715,16.472204,3.512166,-9.041918,-17.056941,1.323900
0.050000,3.746677,16.772572,16.623709,3.030096,-9.641394,-11.989521,1.217675
0.050000,3.797600,16.889561,16.751300,2.551828,-9.565353,1.520821,1.096910
0.050000,3.852285,16.981307,16.858107,2.136140,-8.313769,25.031678,0.964356
0.050000,3.910114,17.053662,16.950732,1.852501,-5.672781,52.819763,0.825823
0.050000,3.973537,17.113591,17.037990,1.745157,-2.146877,70.518069,0.689074
0.050000,4.046705,17.166213,17.128116,1.802518,1.147228,65.882104,0.561360
0.050000,4.132842,17.213513,17.226386,1.965391,3.257456,42.204566,0.447327
0.050000,4.232698,17.255251,17.334613,2.164549,3.983164,14.514153,0.348571
0.050000,4.344781,17.290521,17.452115,2.350041,3.709835,-5.466587,0.264491
0.050000,4.466416,17.318700,17.576971,2.497125,2.941674,-15.363209,0.193397
0.050000,4.594658,17.339706,17.706922,2.599008,2.037667,-18.080151,0.133299
0.050000,4.726804,17.353908,17.839829,2.658151,1.182863,-17.096077,0.082317
0.050000,4.860588,17.361945,17.973854,2.680499,0.446954,-14.718183,0.038831
0.050000,4.994190,17.364581,18.107482,2.672557,-0.158846,-12.115996,0.001508
0.050000,5.161072,17.364585,18.274365,3.337649,13.301841,269.213737,0.000000
0.050000,5.322289,17.364585,18.435581,3.224331,-2.266348,-311.363777,0.000000
0.050000,5.476107,17.364585,18.589400,3.076373,-2.959164,-13.856315,0.000000
0.050000,5.622528,17.364585,18.735820,2.928415,-2.959164,0.000000,0.000000
0.050000,5.761551,17.364585,18.874843,2.780457,-2.959164,-0.000000,0.000000
0.050000,5.893176,17.364585,19.006468,2.632498,-2.959164,-0.000000,0.000000
0.050000,6.017403,17.364585,19.130695,2.484540,-2.959164,0.000000,0.000000
0.050000,6.134232,17.364585,19.247524,2.336582,-2.959164,0.000000,0.000000
0.050000,6.243663,17.364585,19.356955,2.188624,-2.959164,-0.000000,0.000000
0.050000,6.345696,17.364585,19.458989,2.040666,-2.959164,-0.000000,0.000000
0.050000,6.440332,17.364585,19.553624,1.892707,-2.959164,-0.000000,0.000000
0.050000,6.527569,17.364585,19.640862,1.744749,-2.959164,0.000000,0.000000
0.050000,6.607409,17.364585,19.720701,1.596791,-2.959164,-0.000000,0.000000
0.050000,6.679850,17.364585,19.793143,1.448833,-2.959164,0.000000,0.000000
0.050000,6.744894,17.364585,19.858186,1.300875,-2.959164,0.000000,0.000000
0.050000,6.802540,17.364585,19.915832,1.152916,-2.959164,0.000000,0.000000
0.050000,6.852788,17.364585,19.966080,1.004958,-2.959164,0.000000,0.000000
0.050000,6.895638,17.364585,20.008930,0.857000,-2.959164,-0.000000,0.000000
0.050000,6.931090,17.364585,20.044382,0.709042,-2.959164,-0.000000,0.000000
0.050000,6.959144,17.364585,20.072436,0.561084,-2.959164,0.000000,0.000000
0.050000,6.979800,17.364585,20.093093,0.413125,-2.959164,-0.000000,0.000000
0.050000,6.993059,17.364585,20.106351,0.265167,-2.959164,0.000000,0.000000
0.050000,6.998919,17.364585,20.112212,0.117209,-2.959164,0.000000,0.000000
0.050000,7.000000,17.364585,20.113292,0.021615,-1.911880,20.945673,0.000000
0.050000,7.000000,17.364585,20.113292,0.000000,-0.432298,29.591640,0.000000
