dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.059403,4.635415,0.059463,0.594634,2.973171,14.865855,0.000000
0.200000,0.237794,4.635415,0.237854,0.891951,1.486585,-7.432927,0.000000
0.200000,0.535111,4.635415,0.535171,1.486585,2.973171,7.432927,0.000000
0.200000,0.951355,4.635415,0.951415,2.081220,2.973171,-0.000000,0.000000
0.200000,1.486525,4.635415,1.486585,2.675854,2.973171,-0.000000,0.000000
0.200000,2.140623,4.635415,2.140683,3.270488,2.973171,0.000000,0.000000
0.200000,2.913648,4.635415,2.913708,3.865122,2.973171,0.000000,0.000000
0.200000,3.805599,4.635415,3.805659,4.459756,2.973171,0.000000,0.000000
0.200000,4.816477,4.635415,4.816537,5.054391,2.973171,-0.000000,0.000000
0.200000,5.946282,4.635415,5.946342,5.649025,2.973171,-0.000000,0.000000
0.200000,7.404502,4.480717,7.412745,7.332017,8.414962,27.208956,6.089160
0.200000,8.806381,4.143093,8.854707,7.209807,-0.611050,-45.130059,6.023481
0.200000,10.091583,3.818747,10.180205,6.627492,-2.911574,-11.502622,6.067984
0.200000,11.146864,3.664054,11.246763,5.332790,-6.473511,-17.809684,6.242223
0.200000,11.852284,3.743417,11.956634,3.549354,-8.917183,-12.218360,0.340182
0.200000,12.227017,3.995526,12.408280,2.258229,-6.455621,12.307808,0.843151
0.200000,12.501505,4.453656,12.942346,2.670330,2.060502,42.580620,1.171230
0.200000,12.680683,5.021951,13.538219,2.979364,1.545172,-2.576652,1.341573
0.200000,12.780576,5.576024,14.101224,2.815028,-0.821683,-11.834276,1.436561
0.200000,12.831165,6.060208,14.588044,2.434102,-1.904629,-5.414731,1.494032
0.200000,12.853915,6.451628,14.980125,1.960401,-2.368502,-2.319363,1.530240
0.200000,12.862291,6.740162,15.268780,1.443275,-2.585630,-1.085642,1.552808
0.200000,12.864379,6.921052,15.449683,0.904515,-2.693802,-0.540856,1.565539
0.200000,12.864583,6.992104,15.520734,0.355258,-2.746283,-0.262407,1.570278
0.200000,12.864585,7.000000,15.528631,0.039481,-1.578886,5.836987,1.570796
0.200000,12.864585,7.000000,15.528631,0.000000,-0.197406,6.907400,1.570796
