dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003587,2.364585,0.003687,0.147485,2.949696,58.993915,0.000000
0.050000,0.014648,2.364585,0.014748,0.221227,1.474848,-29.496958,0.000000
0.050000,0.033084,2.364585,0.033184,0.368712,2.949696,29.496958,0.000000
0.050000,0.058894,2.364585,0.058994,0.516197,2.949696,0.000000,0.000000
0.050000,0.092078,2.364585,0.092178,0.663682,2.949696,-0.000000,0.000000
0.050000,0.132636,2.364585,0.132736,0.811166,2.949696,-0.000000,0.000000
0.050000,0.180569,2.364585,0.180669,0.958651,2.949696,-0.000000,0.000000
0.050000,0.235876,2.364585,0.235976,1.106136,2.949696,0.000000,0.000000
0.050000,0.298557,2.364585,0.298657,1.253621,2.949696,-0.000000,0.000000
0.050000,0.368612,2.364585,0.368712,1.401105,2.949696,-0.000000,0.000000
0.050000,0.446041,2.364585,0.446141,1.548590,2.949696,0.000000,0.000000
0.050000,0.530845,2.364585,0.530945,1.696075,2.949696,0.000000,0.000000
0.050000,0.623023,2.364585,0.623123,1.843560,2.949696,-0.000000,0.000000
0.050000,0.722575,2.364585,0.722675,1.991045,2.949696,0.000000,0.000000
0.050000,0.829502,2.364585,0.829602,2.138529,2.949696,-0.000000,0.000000
0.050000,0.943803,2.364585,0.943903,2.286014,2.949696,-0.000000,0.000000
0.050000,1.065478,2.364585,1.065578,2.433499,2.949696,0.000000,0.000000
0.050000,1.194527,2.364585,1.194627,2.580984,2.949696,0.000000,0.000000
0.050000,1.330950,2.364585,1.331050,2.728469,2.949696,-0.000000,0.000000
0.050000,1.474748,2.364585,1.474848,2.875953,2.949696,0.000000,0.000000
0.050000,1.625920,2.364585,1.626020,3.023438,2.949696,0.000000,0.000000
0.050000,1.784466,2.364585,1.784566,3.170923,2.949696,0.000000,0.000000
0.050000,1.950386,2.364585,1.950486,3.318408,2.949696,0.000000,0.000000
0.050000,2.123681,2.364585,2.123781,3.465893,2.949696,0.000000,0.000000
0.050000,2.304350,2.364585,2.304450,3.613377,2.949696,-0.000000,0.000000
0.050000,2.492393,2.364585,2.492493,3.760862,2.949696,0.000000,0.000000
0.050000,2.687810,2.364585,2.687910,3.908347,2.949696,-0.000000,0.000000
0.050000,2.890602,2.364585,2.890702,4.055832,2.949696,0.000000,0.000000
0.050000,3.100768,2.364585,3.100868,4.203316,2.949696,-0.000000,0.000000
0.050000,3.318308,2.364585,3.318408,4.350801,2.949696,-0.000000,0.000000
0.050000,3.543222,2.364585,3.543322,4.498286,2.949696,0.000000,0.000000
0.050000,3.775511,2.364585,3.775611,4.645771,2.949696,0.000000,0.000000
0.050000,4.015173,2.364585,4.015273,4.793256,2.949696,-0.000000,0.000000
0.050000,4.262210,2.364585,4.262310,4.940740,2.949696,0.000000,0.000000
0.050000,4.516622,2.364585,4.516722,5.088225,2.949696,-0.000000,0.000000
