dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004457,24.635413,0.003682,0.147273,2.945459,58.909187,6.282458
0.050000,0.018025,24.635388,0.017249,0.271351,2.481558,-9.278033,6.280237
0.050000,0.040675,24.635279,0.039899,0.453000,3.632988,23.028605,6.276502
0.050000,0.072463,24.634983,0.071689,0.635796,3.655919,0.458629,6.271202
0.050000,0.113471,24.634350,0.112701,0.820245,3.688976,0.661140,6.264266
0.050000,0.163802,24.633180,0.163047,1.006903,3.733158,0.883624,6.255595
0.050000,0.223589,24.631216,0.222866,1.196394,3.789812,1.133082,6.245064
0.050000,0.292993,24.628135,0.292338,1.389428,3.860686,1.417483,6.232519
0.050000,0.372200,24.623535,0.371679,1.586827,3.947979,1.745858,6.217766
0.050000,0.461433,24.616923,0.461156,1.789546,4.054394,2.128310,6.200570
0.050000,0.560941,24.607691,0.561092,1.998705,4.183177,2.575651,6.180649
0.050000,0.671003,24.595095,0.671872,2.215610,4.338098,3.098427,6.157661
0.050000,0.791920,24.578220,0.793961,2.441777,4.523336,3.704746,6.131198
0.050000,0.924002,24.555945,0.927908,2.678933,4.743130,4.395890,6.100775
0.050000,1.067539,24.526888,1.074357,2.928985,5.001040,5.158191,6.065824
0.050000,1.222761,24.489354,1.234052,3.193909,5.298472,5.948656,6.025689
0.050000,1.389754,24.441277,1.407828,3.475511,5.632042,6.671397,5.979635
0.050000,1.568336,24.380168,1.596576,3.774970,5.989173,7.142615,5.926873
0.050000,1.757871,24.303104,1.801179,4.092047,6.341545,7.047450,5.866626
0.050000,1.956998,24.206795,2.022374,4.423895,6.636962,5.908333,5.798240
0.050000,2.163321,24.087803,2.260550,4.763538,6.792851,3.117787,5.721368
0.050000,2.373115,23.942982,2.515476,5.098504,6.699328,-1.870479,5.636215
0.050000,2.581235,23.770138,2.786010,5.410693,6.243774,-9.111072,5.543783
0.050000,2.781432,23.568779,3.069954,5.678870,5.363534,-17.604796,5.446012
0.050000,2.967185,23.340616,3.364169,5.884309,4.108792,-25.094838,5.345670
0.050000,3.132854,23.089452,3.665050,6.017623,2.666271,-28.850416,5.245942
0.050000,3.274656,22.820398,3.969185,6.082697,1.301489,-27.295644,5.149840
0.050000,3.391030,22.538747,4.273931,6.094923,0.244521,-21.139356,5.059698
0.050000,3.482334,22.249041,4.577684,6.075049,-0.397486,-12.840157,4.976931
0.050000,3.550182,21.954622,4.879820,6.042721,-0.646564,-4.981561,4.902087
0.050000,3.596764,21.657617,5.180455,6.012707,-0.600267,0.925953,4.835062
0.050000,3.624372,21.359185,5.480162,5.994126,-0.371631,4.572715,4.775352
0.050000,3.635121,21.059806,5.779733,5.991437,-0.053769,6.357244,4.722254
0.050000,3.638311,20.854183,5.985381,4.112958,-37.569588,-750.316383,4.753149
0.050000,3.649921,20.684354,6.155607,3.404512,-14.168930,468.013158,4.810090
0.050000,3.669771,20.530769,6.310469,3.097250,-6.145236,160.473888,4.874074
0.050000,3.696824,20.394619,6.449281,2.776240,-6.420200,-5.499289,4.945706
0.050000,3.729663,20.276677,6.571709,2.448557,-6.553656,-2.669108,5.025280
0.050000,3.766607,20.176968,6.678043,2.126672,-6.437691,2.319293,5.112543
0.050000,3.805998,20.094460,6.769471,1.828572,-5.962013,9.513565,5.206447
0.050000,3.846621,20.026981,6.848235,1.575275,-5.065931,17.921629,5.305022
0.050000,3.888090,19.971505,6.917497,1.385237,-3.800773,25.303166,5.405482
0.050000,3.930936,19.924805,6.980874,1.267542,-2.353900,28.937450,5.504643
