dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003639,22.364585,0.003739,0.149552,2.991036,59.820729,0.000000
0.050000,0.014855,22.364585,0.014955,0.224328,1.495518,-29.910365,0.000000
0.050000,0.033549,22.364585,0.033649,0.373880,2.991036,29.910365,0.000000
0.050000,0.059721,22.364585,0.059821,0.523431,2.991036,0.000000,0.000000
0.050000,0.093370,22.364585,0.093470,0.672983,2.991036,-0.000000,0.000000
0.050000,0.134497,22.364585,0.134597,0.822535,2.991036,-0.000000,0.000000
0.050000,0.183101,22.364585,0.183201,0.972087,2.991036,-0.000000,0.000000
0.050000,0.239183,22.364585,0.239283,1.121639,2.991036,0.000000,0.000000
0.050000,0.302742,22.364585,0.302842,1.271190,2.991036,0.000000,0.000000
0.050000,0.373780,22.364585,0.373880,1.420742,2.991036,-0.000000,0.000000
0.050000,0.452294,22.364585,0.452394,1.570294,2.991036,0.000000,0.000000
0.050000,0.538287,22.364585,0.538387,1.719846,2.991036,0.000000,0.000000
0.050000,0.631756,22.364585,0.631856,1.869398,2.991036,0.000000,0.000000
0.050000,0.732704,22.364585,0.732804,2.018950,2.991036,0.000000,0.000000
0.050000,0.841129,22.364585,0.841229,2.168501,2.991036,-0.000000,0.000000
0.050000,0.957032,22.364585,0.957132,2.318053,2.991036,0.000000,0.000000
0.050000,1.080412,22.364585,1.080512,2.467605,2.991036,-0.000000,0.000000
0.050000,1.211270,22.364585,1.211370,2.617157,2.991036,0.000000,0.000000
0.050000,1.349605,22.364585,1.349705,2.766709,2.991036,-0.000000,0.000000
0.050000,1.495418,22.364585,1.495518,2.916261,2.991036,0.000000,0.000000
0.050000,1.648709,22.364585,1.648809,3.065812,2.991036,0.000000,0.000000
0.050000,1.809477,22.364585,1.809577,3.215364,2.991036,0.000000,0.000000
0.050000,1.977723,22.364585,1.977823,3.364916,2.991036,-0.000000,0.000000
0.050000,2.153446,22.364585,2.153546,3.514468,2.991036,0.000000,0.000000
