dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004385,2.500002,0.003704,0.148148,2.962963,59.259259,0.000732
0.050000,0.017731,2.500026,0.017049,0.266913,2.375301,-11.753235,0.002966
0.050000,0.040007,2.500134,0.039326,0.445523,3.572191,23.937797,0.006724
0.050000,0.071263,2.500427,0.070583,0.625154,3.592632,0.408819,0.012056
0.050000,0.111571,2.501054,0.110896,0.806260,3.622104,0.589435,0.019035
0.050000,0.161024,2.502210,0.160363,0.989335,3.661502,0.787966,0.027761
0.050000,0.219739,2.504151,0.219110,1.174937,3.712037,1.010698,0.038360
0.050000,0.287856,2.507194,0.287295,1.363700,3.775276,1.264783,0.050990
0.050000,0.365542,2.511734,0.365113,1.556360,3.853193,1.558338,0.065846
0.050000,0.452987,2.518257,0.452801,1.753771,3.948215,1.900438,0.083165
0.050000,0.550410,2.527357,0.550648,1.956933,4.063254,2.300773,0.103236
0.050000,0.658048,2.539761,0.658999,2.167018,4.201692,2.768773,0.126404
0.050000,0.776157,2.556362,0.778268,2.385382,4.367271,3.311573,0.153084
0.050000,0.904989,2.578251,0.908946,2.613570,4.563772,3.930015,0.183768
0.050000,1.044774,2.606768,1.051611,2.853287,4.794328,4.611135,0.219032
0.050000,1.195670,2.643552,1.206925,3.106290,5.060077,5.314974,0.259542
0.050000,1.357688,2.690593,1.375634,3.374177,5.357724,5.952932,0.306044
0.050000,1.530571,2.750282,1.558532,3.657952,5.675513,6.355776,0.359334
0.050000,1.713617,2.825416,1.756397,3.957315,5.987248,6.234712,0.420193
0.050000,1.905427,2.919127,1.969876,4.269563,6.244964,5.154324,0.489269
0.050000,2.103618,3.034670,2.199287,4.588229,6.373329,2.567302,0.566886
0.050000,2.304561,3.175002,2.444382,4.901889,6.273192,-2.002753,0.652797
0.050000,2.503323,3.342159,2.704089,5.194145,5.845121,-8.561407,0.745931
0.050000,2.693990,3.536568,2.976391,5.446049,5.038078,-16.140865,0.844270
0.050000,2.870471,3.756603,3.258457,5.641306,3.905135,-22.658858,0.944973
0.050000,3.027564,3.998721,3.547073,5.772334,2.620567,-25.691359,1.044821
0.050000,3.161833,4.258216,3.839247,5.843476,1.422834,-23.954668,1.140810
0.050000,3.270143,4.525301,4.127458,5.764220,-1.585111,-60.158892,1.229115
0.050000,3.352910,4.791103,4.405849,5.567811,-3.928192,-46.861632,1.307577
0.050000,3.413756,5.053205,4.674920,5.381436,-3.727485,4.014138,1.376702
0.050000,3.456116,5.310393,4.935573,5.213049,-3.367741,7.194897,1.437395
0.050000,3.482988,5.562229,5.188839,5.065329,-2.954406,8.266694,1.490691
0.050000,3.496868,5.808733,5.435734,4.937890,-2.548771,8.112692,1.537608
0.050000,3.500000,6.041787,5.668808,4.661490,-5.528014,-59.584845,1.570796
0.050000,3.500000,6.241787,5.868808,4.000000,-13.229794,-154.035614,1.570796
0.050000,3.500000,6.441787,6.068808,4.000000,-0.000000,264.595885,1.570796
0.050000,3.500000,6.641787,6.268808,4.000000,-0.000000,0.000000,1.570796
0.050000,3.500000,6.841787,6.468808,4.000000,0.000000,0.000000,1.570796
0.050000,3.500000,7.041787,6.668808,4.000000,0.000000,-0.000000,1.570796
0.050000,3.500000,7.241787,6.868808,4.000000,-0.000000,-0.000000,1.570796
